3529,NDAMS
GRAND_ID,DamName,DamLon,DamLat,area_CaMa,DamIX,DamIY,FldVol_mcm,ConVol_mcm,TotalVol_mcm,Qn,Qf
2,Mayo,-135.375,63.775,1676.2,180,105,4.362113427795862,260.43788657220415,264.8,15.483208,114.8431167602539
3,Blue_Lake,-135.208,57.058,102.2,180,132,103.34,75.75999999999999,179.1,6.835373,36.6032829284668
6,W.A.C._Bennett,-122.192,56.025,72466.5,232,136,21353.370000000003,52946.63,74300.0,676.7167,1708.267578125
7,Peace_Canyon,-121.992,55.975,73133.2,232,137,36.43000000000001,179.47,215.9,681.22925,1712.8492431640625
8,Swan_Lake,-131.342,55.608,94.2,196,138,46.72,106.28,153.0,9.306398,24.713212966918945
9,Anyox,-129.858,55.442,134.3,201,139,18.33,12.470000000000002,30.8,6.8082533,24.54456901550293
12,Fulton_River,-126.225,54.808,1431.5,215,141,1.0383367019741598,21.96166329802584,23.0,6.3514843,49.67356872558594
15,Kenney,-124.942,53.575,13469.3,220,147,1851.3529014790477,21948.647098520953,23800.0,184.10399,222.94699096679688
16,Cougar_Lake_Dam,-128.892,53.025,142.5,205,148,69.72999999999999,53.57000000000001,123.3,11.18024,46.87998580932617
18,Link_Lake,-127.692,52.358,299.3,210,151,55.829999999999984,333.97,389.8,27.18158,115.623291015625
19,Lajoie,-122.858,50.842,987.1,228,157,54.48449332445091,666.2155066755491,720.7,34.373486,159.46090698242188
20,Terzaghi,-122.225,50.792,3779.0,231,157,350.7199999999999,670.58,1021.3,73.29134,263.7210388183594
21,Seton,-121.975,50.675,886.1,232,158,10.734008896025388,139.9659911039746,150.7,10.504425,65.65532684326172
25,Strathcona,-125.592,49.992,1170.4,218,161,131.47353281438234,871.3264671856176,1002.8,62.921715,285.3905029296875
26,Cheakamus,-123.142,49.975,667.0,228,160,19.47,32.93,52.4,25.221933,133.90866088867188
27,Powell,-124.558,49.875,1254.2,222,161,106.77000711597452,1513.2299928840255,1620.0,48.378696,153.87611389160156
28,Lois,-124.325,49.792,467.7,223,161,46.72030095007637,508.37969904992366,555.1,13.611435,55.43818283081055
29,Clowhom,-123.542,49.708,358.6,227,162,21.330000000000013,78.57,99.9,15.04183,121.34722137451172
30,Comox_Lake,-125.092,49.642,352.4,219,162,5.278639124935339,98.92136087506466,104.2,18.918839,112.6486587524414
31,Elsie_Lake_Saddle_Dam,-125.108,49.475,304.1,220,163,16.92,60.08,77.0,16.29115,96.59758758544922
33,Cleveland,-123.108,49.358,211.2,228,163,16.64,58.56,75.2,8.877271,68.99185180664062
34,Coquitlam,-122.775,49.358,251.1,229,163,48.46000000000001,174.14,222.6,13.04624,104.7187271118164
37,Stave_Falls,-122.358,49.225,974.4,231,163,22.17999999999995,557.82,580.0,50.644238,241.6512908935547
41,Ross,-121.075,48.725,2044.0,236,165,53.8849108355646,1738.0150891644355,1791.9,51.160324,445.41070556640625
42,Diablo,-121.125,48.708,3237.3,236,166,15.120000000000005,95.88,111.0,81.63276,819.1862182617188
43,West_Pass_Dike,-121.692,48.642,442.0,234,165,41.22000000000003,310.88,352.1,17.467909,226.50599670410156
46,Jordan,-123.992,48.492,165.0,225,167,6.779999999999999,13.22,20.0,3.1094007,40.74657440185547
49,Chelan_Dam,-120.025,47.842,2160.6,239,168,94.02050997981873,739.9794900201813,834.0,27.088728,254.05026245117188
51,Cushman_1,-123.225,47.425,178.9,227,170,145.64,449.86,595.5,8.031351,151.51284790039062
56,Howard_A._Hanson_Dam,-121.792,47.275,389.1,235,172,99.56,69.03999999999999,168.6,14.059269,52.46421432495117
58,Cle_Elum,-121.058,47.242,522.4,236,171,101.67000000000002,437.33,539.0,18.243734,67.04142761230469
61,Alder,-122.308,46.808,663.5,232,174,47.18000000000001,250.32,297.5,13.817049,160.2305145263672
62,Skookumchuck,-122.725,46.792,301.7,229,173,32.67,41.33,74.0,7.120599,68.55564880371094
63,Tieton,-121.125,46.658,680.7,236,174,0.0,244.2,244.2,11.032635,89.23786926269531
64,Mossyrock,-122.425,46.542,2965.4,232,175,107.16038586010497,1971.2396141398951,2078.4,55.560497,257.4279479980469
