Seminoe,date,storage(MCM),inflow(m3/s),release(m3/s)
0,1951-01-01,790.8222121,4.927131308,13.93188853
1,1951-01-02,789.3050294,15.68753302,36.07566257
2,1951-01-03,788.3429136,9.004757219,36.41546473
3,1951-01-04,784.7411466,3.9643585239999997,29.36456992
4,1951-01-05,782.2248437000001,6.880993724,26.05149887
5,1951-01-06,780.5349735,6.880993724,36.41546473
6,1951-01-07,779.8688933,16.79189003,24.49407231
7,1951-01-08,778.5243981,12.28951142,27.86377705
8,1951-01-09,776.6865102,10.56218378,31.82813558
9,1951-01-10,774.6759347999999,10.08079739,33.35724529
10,1951-01-11,772.5050067999999,10.70376801,35.82081095
11,1951-01-12,770.519101,4.898814462,27.892093900000003
12,1951-01-13,768.890905,5.74831986,18.83070299
13,1951-01-14,767.6944276,5.74831986,17.83961336
14,1951-01-15,765.3754817,5.776636706000001,40.15328848
15,1951-01-16,763.5622634,9.287925685,18.97228722
16,1951-01-17,761.7613799,9.316242531,41.45586342
17,1951-01-18,760.1208491,8.041984434,27.0425885
18,1951-01-19,758.8133583,18.88733668,34.00853277
19,1951-01-20,757.4935327999999,8.608321366,23.87110168
20,1951-01-21,756.0256894,6.003171479,17.32991012
21,1951-01-22,753.9041006,8.608321366,38.82239669
22,1951-01-23,751.9551993,10.47723324,33.04575998
23,1951-01-24,750.006298,12.91248205,35.48100879
24,1951-01-25,748.0697315,7.192479036,29.61942154
25,1951-01-26,746.2935177,6.144755712,26.70278634
26,1951-01-27,744.1965985,16.67862265,40.94616018
27,1951-01-28,742.7534248,9.429509917999999,26.13644941
28,1951-01-29,739.8670773,5.5217850870000005,39.67190209
29,1951-01-30,736.8327118999999,7.050894802999999,41.42754658
30,1951-01-31,734.1313867,9.118024605,40.37982325
31,1951-02-01,731.4300615,7.07921165,38.34101029999999
32,1951-02-02,729.222129,16.02733518,41.56913081
33,1951-02-03,728.1119953,12.06297665,24.91882501
34,1951-02-04,727.0018617000001,7.022577957,19.87842631
35,1951-02-05,724.7939292000001,7.1075284970000006,32.64932413
36,1951-02-06,722.5983315,8.3251529,33.725364299999995
37,1951-02-07,720.4150687,8.919806679,34.17843385
38,1951-02-08,718.8485467,10.27901532,28.40179714
39,1951-02-09,717.134007,10.78871855,30.63882802
40,1951-02-10,715.7278377,9.486143611000001,25.76833041
41,1951-02-11,715.1110967000001,5.210299774,12.34614512
42,1951-02-12,713.396557,25.59842933,45.44853879
43,1951-02-13,711.694352,14.41327492,34.12180015
44,1951-02-14,709.8317945,7.673865429,29.22298569
45,1951-02-15,708.5983126,22.51189305,36.78358373
46,1951-02-16,706.8961077,10.56218378,30.27070902
47,1951-02-17,705.9709962999999,14.01683907,24.72060708
48,1951-02-18,705.0458849,10.70376801,21.40753603
49,1951-02-19,702.7392739,10.67545117,37.37823751
50,1951-02-20,700.4449977,5.040398695,28.76991615
51,1951-02-21,698.1507214,10.024163699999999,39.41705047
52,1951-02-22,696.3128335,9.401193071,30.66714487
53,1951-02-23,694.3392626,14.13010645,36.98180166
54,1951-02-24,692.3533567999999,11.32673864,34.32001808
55,1951-02-25,692.0573212,3.199803666,14.35664123
56,1951-02-26,690.3797857999999,8.863172986,34.82972132
57,1951-02-27,688.7145854,15.63089932,34.91467186
58,1951-02-28,686.9013671,17.58476174,38.56754507
59,1951-03-01,685.3965192000001,19.85010947,37.26497013
60,1951-03-02,683.5833008999999,16.87684057,37.8596239
61,1951-03-03,682.0784531,15.65921617,33.07407683
62,1951-03-04,681.3260291,13.3089179,22.03050665
63,1951-03-05,679.5251457,17.13169219,37.97289129
64,1951-03-06,677.7242622,18.7740693,39.61526839
65,1951-03-07,675.9357135,9.684361537000001,30.383976399999998
66,1951-03-08,673.8511292000001,11.52495657,35.65090987
67,1951-03-09,671.7665449,10.76040171,34.88635501
68,1951-03-10,670.1383489,11.10020387,29.959223699999995
69,1951-03-11,668.6581706000001,9.118024605,26.2497168
70,1951-03-12,666.4379032999999,4.33247753,30.04417424
71,1951-03-13,664.3656537999999,14.30000753,38.2843766
72,1951-03-14,662.58944,15.23446347,35.7924941
73,1951-03-15,660.6775431,20.47308009,42.58853729
74,1951-03-16,658.9259989,3.0299025860000004,12.17624404
75,1951-03-17,657.6061734,8.693271906,27.75050967
76,1951-03-18,657.0264369,5.861587246,19.90674316
77,1951-03-19,654.978857,17.52812805,41.22932865
78,1951-03-20,652.807929,10.76040171,35.87744464
79,1951-03-21,651.3524204,20.416446399999998,37.26497013
80,1951-03-22,649.8969119,9.457826764,26.30635049
81,1951-03-23,648.6017559,9.656044691,24.63565654
82,1951-03-24,647.8740016,10.30733216,18.7174356
83,1951-03-25,648.0220195,14.97961185,13.25228421
84,1951-03-26,647.5903007999999,17.52812805,21.09605072
85,1951-03-27,647.1462474,27.01427166,32.16793774
86,1951-03-28,646.7145287000001,25.14535978,30.12912478
87,1951-03-29,646.8625465,27.41070751,25.68337987
88,1951-03-30,647.0105644,26.95763796,25.25862717
89,1951-03-31,647.442283,23.55961637,18.57585137
90,1951-04-01,648.7374389,23.53129952,8.551687673
91,1951-04-02,649.613211,27.12753904,16.99010796
92,1951-04-03,650.1929475,26.22139995,19.51030731
93,1951-04-04,650.772684,27.18417274,20.47308009
94,1951-04-05,651.3524204,21.690704500000002,14.97961185
95,1951-04-06,652.2158577,21.77565504,11.77980819
96,1951-04-07,653.5233485,28.88318353,13.76198745
97,1951-04-08,655.4229105,31.00694703,9.033074065
98,1951-04-09,656.4343656,23.04991313,11.35505549
99,1951-04-10,657.3101377,34.60318655,24.46575546
100,1951-04-11,658.1982446000001,30.21407532,19.93506001
101,1951-04-12,659.2220346,31.34674919,19.51030731
102,1951-04-13,659.9497888999999,32.76259152,24.35248808
103,1951-04-14,660.5295252999999,34.43328547,27.72219282
104,1951-04-15,662.1577212999999,34.06516646,15.20614662
105,1951-04-16,663.4775469,34.150117,18.88733668
106,1951-04-17,663.9216004,35.53764248,28.79823299
107,1951-04-18,664.5136717,33.69704745,24.46575546
108,1951-04-19,665.1057429,31.68655135,24.83387447
109,1951-04-20,665.4017786000001,30.46892694,27.0425885
110,1951-04-21,666.1418677,36.58536581,28.00536129
111,1951-04-22,667.7700637,38.05784183,19.19882199
112,1951-04-23,669.1022241000001,41.73903189,26.30635049
113,1951-04-24,670.5824022999999,43.40972584,26.27803364
114,1951-04-25,672.0625805,45.08041979,27.94872759
115,1951-04-26,674.5912182999999,53.83032539,23.72951745
116,1951-04-27,677.1321909,55.50101934,24.26753754
117,1951-04-28,679.8211812999999,54.87804871,22.85169521
118,1951-04-29,682.9788947999999,57.17171329,18.94397038
119,1951-04-30,686.0009253,60.20161587,25.06040924
120,1951-05-01,688.7145854,60.88122019,27.892093900000003
121,1951-05-02,692.0573212,61.61745820000001,20.95446648
122,1951-05-03,695.8564452,62.24042883,16.16891941
123,1951-05-04,699.6802389,61.30597289,14.38495807
124,1951-05-05,703.5163673999999,58.07785238,10.47723324
125,1951-05-06,707.3648307999999,51.84814612,5.691686167
126,1951-05-07,710.608888,50.29071956,10.73208486
127,1951-05-08,713.8652801000001,48.19527291,9.146341452
128,1951-05-09,718.219471,58.92735777,7.673865429
129,1951-05-10,721.9815906,57.25666383,11.77980819
130,1951-05-11,726.3727858999999,68.69666985,14.41327492
131,1951-05-12,730.8009857000001,71.75488928,16.93347427
132,1951-05-13,735.7225782999999,72.15132514,12.79921466
133,1951-05-14,739.7067246,70.45231434,23.13486367
134,1951-05-15,743.555188,72.03805775,25.8249641
135,1951-05-16,747.5763387999999,75.91746573,28.60001507
136,1951-05-17,753.2503552000001,87.81054131,20.61466432
137,1951-05-18,759.787809,93.78539594,16.08396887
138,1951-05-19,766.374602,104.7723324,26.70278634
139,1951-05-20,773.849502,113.18243590000002,24.86219131
140,1951-05-21,781.3737412,114.5133277,26.16476626
141,1951-05-22,789.3050294,117.4865965,22.88001205
142,1951-05-23,797.4460096,125.4436304,27.80714336
143,1951-05-24,806.0680476,134.7881898,30.35565956
144,1951-05-25,814.9121124,116.9202596,10.30733216
145,1951-05-26,824.3605832999999,125.98165049999999,13.45050214
146,1951-05-27,834.0680854,126.20818529999998,11.27010495
147,1951-05-28,842.110387,154.07196240000002,57.87963445
148,1951-05-29,852.9156879,160.07513380000003,31.91308612
149,1951-05-30,864.7324439,157.13018180000003,17.32991012
150,1951-05-31,875.7721064,156.5638449,26.64615265
151,1951-06-01,888.7976746,170.86385239999998,20.10496109
152,1951-06-02,901.946591,164.7474135,12.57267989
153,1951-06-03,916.822382,175.9325679,1.925545569
154,1951-06-04,931.3034587999999,184.3993051,13.33723475
155,1951-06-05,945.9572231000001,187.7123761,13.50713583
156,1951-06-06,960.2162732,184.4559388,18.74575245
157,1951-06-07,974.2286269,181.79415519999998,19.28377253
158,1951-06-08,987.7969271000001,176.4989049,15.20614662
159,1951-06-09,999.6630223999999,151.3252282,10.84535225
160,1951-06-10,1009.555547,121.30937079999998,3.369704745
161,1951-06-11,1017.240139,105.70678840000001,13.25228421
162,1951-06-12,1025.183762,107.2642149,12.37446196
163,1951-06-13,1033.583773,111.0303555,13.47881898
164,1951-06-14,1041.61374,109.3596616,15.99901833
165,1951-06-15,1049.902738,112.7293663,12.54436304
166,1951-06-16,1058.043718,112.1630294,14.38495807
167,1951-06-17,1066.665756,113.2673864,8.211885514
168,1951-06-18,1075.312464,126.0949179,20.64298117
169,1951-06-19,1085.118644,140.6780939,22.03050665
170,1951-06-20,1096.084298,150.3624554,22.59684359
171,1951-06-21,1107.111625,151.74998090000003,23.72951745
172,1951-06-22,1122.776845,204.33436509999999,19.36872307
173,1951-06-23,1137.455279,186.9195044,14.35664123
174,1951-06-24,1153.441203,195.5561426,5.635052472999999
175,1951-06-25,1167.293204,184.3993051,21.57743711
176,1951-06-26,1181.280889,193.7438644,23.92773538
177,1951-06-27,1194.207778,184.48425559999998,30.15744163
178,1951-06-28,1204.877396,156.1107753,26.56120211
179,1951-06-29,1213.228068,127.9638298,31.00694703
180,1951-06-30,1219.22279,99.9018348,26.56120211
