Navajo,date,storage(MCM),inflow(m3/s),release(m3/s)
0,01-Jan-1990,1516.08447,3.56788899900892,14.27155599603568
1,02-Jan-1990,1514.998197,1.953843975647742,14.27155599603568
2,03-Jan-1990,1513.911924,1.953843975647742,14.27155599603568
3,04-Jan-1990,1512.96498,3.56788899900892,14.27155599603568
4,05-Jan-1990,1512.018036,3.56788899900892,14.27155599603568
5,06-Jan-1990,1511.064927,3.482939260937279,14.27155599603568
6,07-Jan-1990,1510.11675,3.56788899900892,14.27155599603568
7,08-Jan-1990,1509.30297,5.096984284298457,14.27155599603568
8,09-Jan-1990,1508.627286,6.7110293076596355,14.27155599603568
9,10-Jan-1990,1507.812273,5.096984284298457,14.27155599603568
10,11-Jan-1990,1506.859164,3.482939260937279,14.27155599603568
11,12-Jan-1990,1505.989899,4.474019538439757,14.27155599603568
12,13-Jan-1990,1505.100906,4.247486903582048,14.27155599603568
13,14-Jan-1990,1504.211913,4.247486903582048,14.27155599603568
14,15-Jan-1990,1503.324153,4.247486903582048,14.27155599603568
15,16-Jan-1990,1502.43516,4.275803482939261,14.27155599603568
16,17-Jan-1990,1501.546167,4.275803482939261,14.27155599603568
17,18-Jan-1990,1501.250247,11.128415687384965,14.27155599603568
18,19-Jan-1990,1500.361254,4.275803482939261,14.27155599603568
19,20-Jan-1990,1499.328,2.5768087215064424,14.27155599603568
20,21-Jan-1990,1498.295979,2.605125300863656,14.27155599603568
21,22-Jan-1990,1497.255327,2.520175562792015,14.27155599603568
22,23-Jan-1990,1496.222073,2.605125300863656,14.27155599603568
23,24-Jan-1990,1495.188819,2.605125300863656,14.27155599603568
24,25-Jan-1990,1494.148167,2.520175562792015,14.27155599603568
25,26-Jan-1990,1493.114913,2.605125300863656,14.27155599603568
26,27-Jan-1990,1492.075494,2.5484921421492284,14.27155599603568
27,28-Jan-1990,1491.04224,2.6334418802208694,14.27155599603568
28,29-Jan-1990,1490.153247,4.304120062296475,14.27155599603568
29,30-Jan-1990,1489.119993,2.6334418802208694,14.27155599603568
30,31-Jan-1990,1488.231,4.304120062296475,14.27155599603568
31,01-Feb-1990,1487.34324,4.304120062296475,14.27155599603568
32,02-Feb-1990,1486.454247,4.304120062296475,14.27155599603568
33,03-Feb-1990,1485.565254,4.304120062296475,14.27155599603568
34,04-Feb-1990,1484.677494,4.304120062296475,14.27155599603568
35,05-Feb-1990,1483.795899,4.389069800368116,14.27155599603568
36,06-Feb-1990,1482.755247,2.5484921421492284,14.27155599603568
37,07-Feb-1990,1481.721993,2.661758459578083,14.27155599603568
38,08-Feb-1990,1480.688739,2.661758459578083,14.27155599603568
39,09-Feb-1990,1479.64932,2.5768087215064424,14.27155599603568
40,10-Feb-1990,1478.616066,2.661758459578083,14.27155599603568
41,11-Feb-1990,1477.727073,4.332436641653689,14.27155599603568
42,12-Feb-1990,1476.730809,3.086507149936288,14.27155599603568
43,13-Feb-1990,1475.915796,5.210250601727312,14.27155599603568
44,14-Feb-1990,1475.233947,6.739345887016849,14.27155599603568
45,15-Feb-1990,1474.418934,5.210250601727312,14.27155599603568
46,16-Feb-1990,1473.74325,6.82429562508849,14.27155599603568
47,17-Feb-1990,1472.92947,5.210250601727312,14.27155599603568
48,18-Feb-1990,1471.982526,3.709471895794988,14.27155599603568
49,19-Feb-1990,1471.167513,5.238567181084525,14.27155599603568
50,20-Feb-1990,1470.624993,8.381707489735241,14.27155599603568
51,21-Feb-1990,1469.80998,5.266883760441739,14.27155599603568
52,22-Feb-1990,1468.994967,5.266883760441739,14.27155599603568
53,23-Feb-1990,1468.320516,6.880928783802917,14.27155599603568
54,24-Feb-1990,1467.776763,8.438340648449667,14.27155599603568
55,25-Feb-1990,1467.234243,8.438340648449667,14.27155599603568
56,26-Feb-1990,1466.558559,6.909245363160131,14.27155599603568
57,27-Feb-1990,1466.014806,8.466657227806882,14.27155599603568
58,28-Feb-1990,1465.472286,8.466657227806882,14.27155599603568
59,01-Mar-1990,1465.201026,11.63811411581481,14.27155599603568
60,02-Mar-1990,1464.929766,11.666430695172023,14.27155599603568
61,03-Mar-1990,1464.657273,11.666430695172023,14.27155599603568
62,04-Mar-1990,1464.386013,11.666430695172023,14.27155599603568
63,05-Mar-1990,1464.114753,11.666430695172023,14.27155599603568
64,06-Mar-1990,1463.704164,10.08070225116806,14.27155599603568
65,07-Mar-1990,1463.704164,14.866204162537166,14.27155599603568
66,08-Mar-1990,1463.167809,8.636556703950163,14.27155599603568
67,09-Mar-1990,1462.896549,11.723063853886451,14.27155599603568
68,10-Mar-1990,1462.48596,10.109018830525272,14.27155599603568
69,11-Mar-1990,1462.352796,13.365425456604843,14.27155599603568
70,12-Mar-1990,1462.213467,13.280475718533202,14.27155599603568
71,13-Mar-1990,1461.942207,11.751380433243664,14.27155599603568
72,14-Mar-1990,1461.399687,8.636556703950163,14.27155599603568
73,15-Mar-1990,1460.995263,10.250601727311341,14.27155599603568
74,16-Mar-1990,1460.452743,8.636556703950163,14.27155599603568
75,17-Mar-1990,1460.048319,10.278918306668555,14.27155599603568
76,18-Mar-1990,1459.505799,8.664873283307378,14.27155599603568
77,19-Mar-1990,1458.822717,7.079144839303413,14.27155599603568
78,20-Mar-1990,1458.008937,7.503893529661617,14.27155599603568
79,21-Mar-1990,1457.193924,10.30723488602577,14.27155599603568
80,22-Mar-1990,1456.7895,14.186606257964039,14.27155599603568
81,23-Mar-1990,1456.24698,12.912360186889424,14.27155599603568
82,24-Mar-1990,1455.97572,11.892963330029733,14.27155599603568
83,25-Mar-1990,1455.160707,12.289395441030724,14.27155599603568
84,26-Mar-1990,1455.028776,19.22695738354807,14.27155599603568
85,27-Mar-1990,1455.160707,16.621832082684413,14.27155599603568
86,28-Mar-1990,1455.028776,20.16140450233612,14.27155599603568
87,29-Mar-1990,1454.889447,19.31190712161971,14.27155599603568
88,30-Mar-1990,1454.618187,19.821605550049554,14.27155599603568
89,31-Mar-1990,1454.074434,10.986832790598896,14.27155599603568
90,01-Apr-1990,1454.074434,18.94379158997593,14.27155599603568
91,02-Apr-1990,1453.803174,17.697862098258533,14.27155599603568
92,03-Apr-1990,1453.266819,14.66798810703667,14.27155599603568
