Name,Vientiane,UbonRatchathani
IX_fort,52,60
IY_fort,69,80
Lat,17.92,15.22
Lon,102.62,104.86
Uparea,305453.1,106544.1
2000-01-01T00:00,801.07,47.68
2000-01-01T01:00,800.30,47.51
2000-01-01T02:00,799.52,47.35
2000-01-01T03:00,798.72,47.19
2000-01-01T04:00,797.92,47.03
2000-01-01T05:00,797.13,46.87
2000-01-01T06:00,796.33,46.71
2000-01-01T07:00,795.54,46.56
2000-01-01T08:00,794.75,46.40
2000-01-01T09:00,793.97,46.24
2000-01-01T10:00,793.19,46.09
2000-01-01T11:00,792.41,45.93
2000-01-01T12:00,791.64,45.78
2000-01-01T13:00,790.88,45.63
2000-01-01T14:00,790.11,45.48
2000-01-01T15:00,789.36,45.33
2000-01-01T16:00,788.60,45.18
2000-01-01T17:00,787.85,45.03
2000-01-01T18:00,787.11,44.88
2000-01-01T19:00,786.36,44.74
2000-01-01T20:00,785.62,44.59
2000-01-01T21:00,784.89,44.44
2000-01-01T22:00,784.16,44.30
2000-01-01T23:00,783.43,44.16
2000-01-02T00:00,782.71,44.01
2000-01-02T01:00,781.99,43.87
2000-01-02T02:00,781.27,43.73
2000-01-02T03:00,780.56,43.59
2000-01-02T04:00,779.85,43.45
2000-01-02T05:00,779.15,43.31
2000-01-02T06:00,778.44,43.17
2000-01-02T07:00,777.75,43.03
2000-01-02T08:00,777.05,42.89
2000-01-02T09:00,776.36,42.76
2000-01-02T10:00,775.68,42.62
2000-01-02T11:00,775.00,42.48
2000-01-02T12:00,774.32,42.35
2000-01-02T13:00,773.64,42.22
2000-01-02T14:00,772.97,42.08
2000-01-02T15:00,772.31,41.95
2000-01-02T16:00,771.64,41.82
2000-01-02T17:00,770.98,41.69
2000-01-02T18:00,770.32,41.55
2000-01-02T19:00,769.67,41.42
2000-01-02T20:00,769.02,41.30
2000-01-02T21:00,768.37,41.17
2000-01-02T22:00,767.73,41.04
2000-01-02T23:00,767.09,40.91
2000-01-03T00:00,766.46,40.78
2000-01-03T01:00,765.82,40.66
2000-01-03T02:00,765.19,40.53
2000-01-03T03:00,764.56,40.40
2000-01-03T04:00,763.94,40.28
2000-01-03T05:00,763.33,40.15
2000-01-03T06:00,762.71,40.03
2000-01-03T07:00,762.10,39.91
2000-01-03T08:00,761.49,39.78
2000-01-03T09:00,760.89,39.66
2000-01-03T10:00,760.29,39.54
2000-01-03T11:00,759.70,39.42
2000-01-03T12:00,759.11,39.30
2000-01-03T13:00,758.52,39.18
2000-01-03T14:00,757.94,39.06
2000-01-03T15:00,757.37,38.94
2000-01-03T16:00,756.79,38.82
2000-01-03T17:00,756.22,38.70
2000-01-03T18:00,755.66,38.58
2000-01-03T19:00,755.10,38.46
2000-01-03T20:00,754.55,38.35
2000-01-03T21:00,754.00,38.23
2000-01-03T22:00,753.46,38.11
2000-01-03T23:00,752.92,38.00
2000-01-04T00:00,752.38,37.88
2000-01-04T01:00,751.85,37.77
2000-01-04T02:00,751.32,37.65
2000-01-04T03:00,750.80,37.54
2000-01-04T04:00,750.29,37.42
2000-01-04T05:00,749.78,37.31
2000-01-04T06:00,749.28,37.20
2000-01-04T07:00,748.79,37.09
2000-01-04T08:00,748.29,36.97
2000-01-04T09:00,747.81,36.86
2000-01-04T10:00,747.33,36.75
2000-01-04T11:00,746.86,36.64
2000-01-04T12:00,746.39,36.53
2000-01-04T13:00,745.93,36.42
2000-01-04T14:00,745.48,36.31
2000-01-04T15:00,745.03,36.20
2000-01-04T16:00,744.60,36.09
2000-01-04T17:00,744.16,35.98
2000-01-04T18:00,743.74,35.87
2000-01-04T19:00,743.32,35.77
2000-01-04T20:00,742.91,35.66
2000-01-04T21:00,742.51,35.55
2000-01-04T22:00,742.11,35.44
2000-01-04T23:00,741.72,35.34
2000-01-05T00:00,741.34,35.23
2000-01-05T01:00,740.97,35.13
2000-01-05T02:00,740.60,35.02
2000-01-05T03:00,740.25,34.92
2000-01-05T04:00,739.89,34.81
2000-01-05T05:00,739.55,34.71
2000-01-05T06:00,739.23,34.60
2000-01-05T07:00,738.90,34.50
2000-01-05T08:00,738.58,34.39
2000-01-05T09:00,738.28,34.29
2000-01-05T10:00,737.99,34.19
2000-01-05T11:00,737.70,34.09
2000-01-05T12:00,737.43,33.98
2000-01-05T13:00,737.16,33.88
2000-01-05T14:00,736.90,33.78
2000-01-05T15:00,736.66,33.68
2000-01-05T16:00,736.42,33.58
2000-01-05T17:00,736.19,33.48
2000-01-05T18:00,735.98,33.38
2000-01-05T19:00,735.77,33.27
2000-01-05T20:00,735.57,33.17
2000-01-05T21:00,735.39,33.08
2000-01-05T22:00,735.21,32.98
2000-01-05T23:00,735.05,32.88
2000-01-06T00:00,734.89,32.78
2000-01-06T01:00,734.75,32.68
2000-01-06T02:00,734.62,32.58
2000-01-06T03:00,734.50,32.48
2000-01-06T04:00,734.39,32.38
2000-01-06T05:00,734.29,32.29
2000-01-06T06:00,734.21,32.19
2000-01-06T07:00,734.13,32.09
2000-01-06T08:00,734.08,32.00
2000-01-06T09:00,734.03,31.90
2000-01-06T10:00,733.99,31.80
2000-01-06T11:00,733.97,31.71
2000-01-06T12:00,733.96,31.61
2000-01-06T13:00,733.96,31.51
2000-01-06T14:00,733.97,31.42
2000-01-06T15:00,734.00,31.32
2000-01-06T16:00,734.04,31.23
2000-01-06T17:00,734.10,31.13
2000-01-06T18:00,734.16,31.04
2000-01-06T19:00,734.24,30.94
2000-01-06T20:00,734.33,30.85
2000-01-06T21:00,734.44,30.76
2000-01-06T22:00,734.56,30.66
2000-01-06T23:00,734.70,30.57
2000-01-07T00:00,734.84,30.47
2000-01-07T01:00,735.00,30.38
2000-01-07T02:00,735.18,30.29
2000-01-07T03:00,735.36,30.19
2000-01-07T04:00,735.56,30.10
2000-01-07T05:00,735.78,30.01
2000-01-07T06:00,736.01,29.92
2000-01-07T07:00,736.25,29.82
2000-01-07T08:00,736.51,29.73
2000-01-07T09:00,736.78,29.64
2000-01-07T10:00,737.06,29.55
2000-01-07T11:00,737.36,29.45
2000-01-07T12:00,737.68,29.36
2000-01-07T13:00,738.01,29.27
2000-01-07T14:00,738.35,29.18
2000-01-07T15:00,738.70,29.09
2000-01-07T16:00,739.07,28.99
2000-01-07T17:00,739.46,28.90
2000-01-07T18:00,739.86,28.81
2000-01-07T19:00,740.27,28.72
2000-01-07T20:00,740.70,28.63
2000-01-07T21:00,741.14,28.54
2000-01-07T22:00,741.59,28.45
2000-01-07T23:00,742.06,28.36
2000-01-08T00:00,742.54,28.26
2000-01-08T01:00,743.04,28.17
2000-01-08T02:00,743.54,28.08
2000-01-08T03:00,744.07,27.99
2000-01-08T04:00,744.60,27.90
2000-01-08T05:00,745.15,27.81
2000-01-08T06:00,745.72,27.72
2000-01-08T07:00,746.30,27.63
2000-01-08T08:00,746.89,27.54
2000-01-08T09:00,747.49,27.45
2000-01-08T10:00,748.11,27.36
2000-01-08T11:00,748.74,27.27
2000-01-08T12:00,749.39,27.18
2000-01-08T13:00,750.05,27.09
2000-01-08T14:00,750.72,27.00
2000-01-08T15:00,751.40,26.91
2000-01-08T16:00,752.10,26.81
2000-01-08T17:00,752.81,26.72
2000-01-08T18:00,753.53,26.64
2000-01-08T19:00,754.27,26.55
2000-01-08T20:00,755.01,26.46
2000-01-08T21:00,755.77,26.37
2000-01-08T22:00,756.55,26.28
2000-01-08T23:00,757.33,26.19
2000-01-09T00:00,758.13,26.10
2000-01-09T01:00,758.93,26.01
2000-01-09T02:00,759.75,25.92
2000-01-09T03:00,760.58,25.83
2000-01-09T04:00,761.42,25.74
2000-01-09T05:00,762.27,25.65
2000-01-09T06:00,763.13,25.56
2000-01-09T07:00,764.01,25.48
2000-01-09T08:00,764.90,25.39
2000-01-09T09:00,765.79,25.30
2000-01-09T10:00,766.70,25.21
2000-01-09T11:00,767.61,25.12
2000-01-09T12:00,768.54,25.04
2000-01-09T13:00,769.47,24.95
2000-01-09T14:00,770.43,24.86
2000-01-09T15:00,771.38,24.77
2000-01-09T16:00,772.34,24.69
2000-01-09T17:00,773.32,24.60
2000-01-09T18:00,774.30,24.51
2000-01-09T19:00,775.30,24.43
2000-01-09T20:00,776.30,24.34
2000-01-09T21:00,777.30,24.25
2000-01-09T22:00,778.31,24.17
2000-01-09T23:00,779.33,24.08
2000-01-10T00:00,780.36,24.00
2000-01-10T01:00,781.39,23.91
2000-01-10T02:00,782.43,23.83
2000-01-10T03:00,783.48,23.74
2000-01-10T04:00,784.53,23.66
2000-01-10T05:00,785.59,23.57
2000-01-10T06:00,786.66,23.49
2000-01-10T07:00,787.72,23.40
2000-01-10T08:00,788.80,23.32
2000-01-10T09:00,789.87,23.23
2000-01-10T10:00,790.95,23.15
2000-01-10T11:00,792.04,23.06
2000-01-10T12:00,793.13,22.98
2000-01-10T13:00,794.21,22.90
2000-01-10T14:00,795.31,22.81
2000-01-10T15:00,796.40,22.73
2000-01-10T16:00,797.50,22.65
2000-01-10T17:00,798.59,22.56
2000-01-10T18:00,799.69,22.48
2000-01-10T19:00,800.79,22.40
2000-01-10T20:00,801.89,22.31
2000-01-10T21:00,802.99,22.23
2000-01-10T22:00,804.08,22.15
2000-01-10T23:00,805.17,22.07
2000-01-11T00:00,806.26,21.98
2000-01-11T01:00,807.35,21.90
2000-01-11T02:00,808.43,21.82
2000-01-11T03:00,809.52,21.74
2000-01-11T04:00,810.59,21.65
2000-01-11T05:00,811.67,21.57
2000-01-11T06:00,812.74,21.49
2000-01-11T07:00,813.80,21.41
2000-01-11T08:00,814.86,21.33
2000-01-11T09:00,815.91,21.25
2000-01-11T10:00,816.97,21.16
2000-01-11T11:00,818.01,21.08
2000-01-11T12:00,819.03,21.00
2000-01-11T13:00,820.06,20.92
2000-01-11T14:00,821.08,20.84
2000-01-11T15:00,822.09,20.76
2000-01-11T16:00,823.09,20.68
2000-01-11T17:00,824.07,20.60
2000-01-11T18:00,825.06,20.52
2000-01-11T19:00,826.03,20.44
2000-01-11T20:00,826.99,20.36
2000-01-11T21:00,827.94,20.28
2000-01-11T22:00,828.88,20.20
2000-01-11T23:00,829.80,20.12
2000-01-12T00:00,830.72,20.04
2000-01-12T01:00,831.62,19.96
2000-01-12T02:00,832.50,19.88
2000-01-12T03:00,833.38,19.80
2000-01-12T04:00,834.24,19.72
2000-01-12T05:00,835.09,19.64
2000-01-12T06:00,835.92,19.56
2000-01-12T07:00,836.74,19.48
2000-01-12T08:00,837.55,19.40
2000-01-12T09:00,838.34,19.33
2000-01-12T10:00,839.11,19.25
2000-01-12T11:00,839.88,19.17
2000-01-12T12:00,840.62,19.09
2000-01-12T13:00,841.35,19.01
2000-01-12T14:00,842.06,18.94
2000-01-12T15:00,842.76,18.86
2000-01-12T16:00,843.44,18.78
2000-01-12T17:00,844.11,18.71
2000-01-12T18:00,844.76,18.63
2000-01-12T19:00,845.38,18.55
2000-01-12T20:00,846.00,18.48
2000-01-12T21:00,846.60,18.40
2000-01-12T22:00,847.18,18.33
2000-01-12T23:00,847.74,18.25
2000-01-13T00:00,848.29,18.17
2000-01-13T01:00,848.81,18.10
2000-01-13T02:00,849.32,18.02
2000-01-13T03:00,849.81,17.95
2000-01-13T04:00,850.28,17.87
2000-01-13T05:00,850.74,17.80
2000-01-13T06:00,851.18,17.73
2000-01-13T07:00,851.60,17.65
2000-01-13T08:00,852.00,17.58
2000-01-13T09:00,852.38,17.51
2000-01-13T10:00,852.75,17.43
2000-01-13T11:00,853.10,17.36
2000-01-13T12:00,853.44,17.29
2000-01-13T13:00,853.75,17.22
2000-01-13T14:00,854.05,17.14
2000-01-13T15:00,854.33,17.07
2000-01-13T16:00,854.59,17.00
2000-01-13T17:00,854.83,16.93
2000-01-13T18:00,855.06,16.86
2000-01-13T19:00,855.26,16.79
2000-01-13T20:00,855.46,16.72
2000-01-13T21:00,855.64,16.65
2000-01-13T22:00,855.80,16.58
2000-01-13T23:00,855.94,16.51
2000-01-14T00:00,856.06,16.44
2000-01-14T01:00,856.17,16.37
2000-01-14T02:00,856.25,16.30
2000-01-14T03:00,856.33,16.23
2000-01-14T04:00,856.39,16.16
2000-01-14T05:00,856.43,16.10
2000-01-14T06:00,856.46,16.03
2000-01-14T07:00,856.47,15.96
2000-01-14T08:00,856.47,15.89
2000-01-14T09:00,856.45,15.83
2000-01-14T10:00,856.41,15.76
2000-01-14T11:00,856.36,15.69
2000-01-14T12:00,856.30,15.63
2000-01-14T13:00,856.22,15.56
2000-01-14T14:00,856.13,15.50
2000-01-14T15:00,856.02,15.43
2000-01-14T16:00,855.90,15.37
2000-01-14T17:00,855.77,15.30
2000-01-14T18:00,855.62,15.24
