# params: ./map/params.txt
# file: ./out_ori/outflw2001.bin
# year: 2001
# freq: hourly
# x,y (Fortran): 52, 69
# lon,lat: 102.875, 17.875
# time	value
2001-01-01T00:00	801.04
2001-01-01T01:00	800.20
2001-01-01T02:00	799.35
2001-01-01T03:00	798.52
2001-01-01T04:00	797.68
2001-01-01T05:00	796.85
2001-01-01T06:00	796.02
2001-01-01T07:00	795.20
2001-01-01T08:00	794.38
2001-01-01T09:00	793.56
2001-01-01T10:00	792.74
2001-01-01T11:00	791.93
2001-01-01T12:00	791.12
2001-01-01T13:00	790.31
2001-01-01T14:00	789.51
2001-01-01T15:00	788.70
2001-01-01T16:00	787.91
2001-01-01T17:00	787.11
2001-01-01T18:00	786.32
2001-01-01T19:00	785.53
2001-01-01T20:00	784.74
2001-01-01T21:00	783.96
2001-01-01T22:00	783.17
2001-01-01T23:00	782.39
2001-01-02T00:00	781.61
2001-01-02T01:00	780.84
2001-01-02T02:00	780.06
2001-01-02T03:00	779.29
2001-01-02T04:00	778.52
2001-01-02T05:00	777.75
2001-01-02T06:00	776.98
2001-01-02T07:00	776.22
2001-01-02T08:00	775.46
2001-01-02T09:00	774.70
2001-01-02T10:00	773.94
2001-01-02T11:00	773.19
2001-01-02T12:00	772.44
2001-01-02T13:00	771.69
2001-01-02T14:00	770.94
2001-01-02T15:00	770.19
2001-01-02T16:00	769.44
2001-01-02T17:00	768.69
2001-01-02T18:00	767.96
2001-01-02T19:00	767.22
2001-01-02T20:00	766.48
2001-01-02T21:00	765.74
2001-01-02T22:00	765.00
2001-01-02T23:00	764.26
2001-01-03T00:00	763.53
2001-01-03T01:00	762.79
2001-01-03T02:00	762.05
2001-01-03T03:00	761.32
2001-01-03T04:00	760.59
2001-01-03T05:00	759.86
2001-01-03T06:00	759.13
2001-01-03T07:00	758.40
2001-01-03T08:00	757.67
2001-01-03T09:00	756.94
2001-01-03T10:00	756.22
2001-01-03T11:00	755.49
2001-01-03T12:00	754.76
2001-01-03T13:00	754.04
2001-01-03T14:00	753.31
2001-01-03T15:00	752.59
2001-01-03T16:00	751.86
2001-01-03T17:00	751.14
2001-01-03T18:00	750.41
2001-01-03T19:00	749.69
2001-01-03T20:00	748.97
2001-01-03T21:00	748.24
2001-01-03T22:00	747.52
2001-01-03T23:00	746.79
2001-01-04T00:00	746.07
2001-01-04T01:00	745.34
2001-01-04T02:00	744.61
2001-01-04T03:00	743.89
2001-01-04T04:00	743.16
2001-01-04T05:00	742.43
2001-01-04T06:00	741.71
2001-01-04T07:00	740.97
2001-01-04T08:00	740.25
2001-01-04T09:00	739.52
2001-01-04T10:00	738.79
2001-01-04T11:00	738.06
2001-01-04T12:00	737.33
2001-01-04T13:00	736.60
2001-01-04T14:00	735.87
2001-01-04T15:00	735.13
2001-01-04T16:00	734.39
2001-01-04T17:00	733.66
2001-01-04T18:00	732.93
2001-01-04T19:00	732.19
2001-01-04T20:00	731.45
2001-01-04T21:00	730.71
2001-01-04T22:00	729.97
