        ID       lat       lon       err   area_CaMa  area_GRanD        diff      ix    iy        area     cap_mcm  damname
         4    56.992  -135.108    -9.000      -999.0        78.4      -999.0    -999  -999      -999.0       115.9  Green_Lake                    
        10    55.375  -131.525    -9.000      -999.0         8.8      -999.0    -999  -999      -999.0        46.9  Upper_Silvis                  
        11    55.375  -131.625    -9.000      -999.0        20.4      -999.0    -999  -999      -999.0        17.0  Ketchikan_Lakes               
        14    54.192  -130.075    -9.000      -999.0        54.6      -999.0    -999  -999      -999.0        40.7  Diana_Lake                    
        32    49.442  -122.958    -9.000      -999.0       125.8      -999.0    -999  -999      -999.0        25.3  Seymour_Falls                 
        40    48.758  -122.425    -9.000      -999.0       151.1      -999.0    -999  -999      -999.0        95.0  Whatcom_Lake_Dam              
       194    38.142  -122.775    -9.000      -999.0        40.8      -999.0    -999  -999      -999.0        13.2  Soulajule                     
       208    37.758  -122.092    -9.000      -999.0        83.3      -999.0    -999  -999      -999.0        51.8  New_San_Leandro               
       209    37.725  -122.125    -9.000      -999.0       108.7      -999.0    -999  -999      -999.0        12.7  Chabot                        
       215    37.558  -122.408    -9.000      -999.0         7.1      -999.0    -999  -999      -999.0        23.5  San_Andreas                   
       232    35.442  -120.892    -9.000      -999.0        53.5      -999.0    -999  -999      -999.0        50.2  Whale_Rock                    
       240     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0       168.0  Dike_9                        
       671    32.608  -116.925    -9.000      -999.0       259.3      -999.0    -999  -999      -999.0        61.1  Savage                        
       702     0.000     0.000    -9.000      3612.9         0.0         0.0    -999  -999      -999.0      4463.0  Missi_Falls_Control           
       748     0.000     0.000    -9.000      -888.0         0.0         0.0    -999  -999      -999.0        12.3  Wilson_Lake                   
      1304    29.775   -94.808    -9.000      -999.0        23.5      -999.0    -999  -999      -999.0        37.0  Cedar_Bayou_Generating_Pond_Le
      1500     0.000     0.000    -9.000       452.8         0.0         0.0    -999  -999      -999.0       101.5  Ludington                     
      1632     0.000     0.000    -9.000      1958.8         0.0         0.0    -999  -999      -999.0        26.9  Bailey_Mine_Slurry_Impoundment
      1633    39.958   -75.392    -9.000      -999.0        60.3      -999.0    -999  -999      -999.0        16.8  Geist_Storage                 
      1680     0.000     0.000    -9.000       389.1         0.0         0.0    -999  -999      -999.0        12.6  Meigs_Mine_Slurry_Impoundment 
      1702    38.525   -77.458    -9.000      -999.0        30.1      -999.0    -999  -999      -999.0        11.8  Lunga_Dam                     
      1738    37.358   -76.842    -9.000      -999.0        11.8      -999.0    -999  -999      -999.0        39.6  Little_Creek_Dam              
      2033    46.575   -60.492    -9.000      -999.0        63.7      -999.0    -999  -999      -999.0        22.1  Wreck_Cove                    
